X,Y
1205,25.563
1206,24.125
1207,23.973
1208,24.501
1209,24.510
1210,24.648
1211,25.057
1212,28.965
1213,35.522
1214,48.405
1215,68.312
1216,84.213
1217,87.729
1218,87.237
1219,95.504
1220,103.186
1221,113.410
1222,122.880
1223,131.446
1224,140.111
1225,149.933
1226,158.689
1227,164.611
1228,164.412
1229,159.669
1230,152.880
1231,149.004
1232,144.046
1233,136.633
1234,126.296
1235,110.320
1236,100.985
1237,89.465
1238,76.574
1239,60.996
1240,47.716
1241,41.207
1242,40.769
1243,43.987
1244,53.204
1245,65.282
1246,70.236
1247,70.196
1248,75.031
1249,81.326
1250,80.769
1251,70.660
1252,55.706
1253,44.244
1254,28.903
1255,25.192
1256,26.887
1257,25.703
1258,34.610
1259,45.716
1260,45.548
1261,44.618
1262,41.330
1263,34.877
1264,29.808
1265,29.522
1266,32.710
1267,37.421
1268,37.526
1269,40.679
1270,46.115
1271,49.655
1272,46.980
1273,39.657
1274,33.642
1275,32.915
1276,33.688
1277,35.169
1278,35.485
1279,34.784
1280,33.011
1281,31.409
1282,30.633
1283,35.558
1284,40.846
1285,43.814
1286,49.261
1287,54.715
1288,54.453
1289,52.040
1290,51.580
1291,43.852
1292,33.138
1293,28.955
1294,31.011
1295,36.623
1296,45.739
1297,52.107
1298,50.630
1299,38.407
1300,32.418
1301,27.012
1302,25.687
1303,27.937
1304,30.011
1305,28.182
1306,24.900
1307,23.233
1308,29.793
1309,30.228
1310,27.750
1311,27.592
1312,25.075
1313,24.070
1314,26.933
1315,31.917
1316,37.100
1317,43.681
1318,46.314
1319,46.919
1320,46.602
1321,47.421
1322,48.344
1323,50.826
1324,53.720
1325,54.133
1326,53.717
1327,54.609
1328,57.676
1329,60.982
1330,62.649
1331,66.450
1332,68.473
1333,66.285
1334,58.941
1335,49.236
1336,42.672
1337,40.165
1338,40.253
1339,33.563
1340,27.936
1341,30.243
1342,34.022
1343,36.011
1344,40.033
1345,41.873
1346,40.457
1347,40.840
1348,44.013
1349,46.083
1350,48.982
1351,56.178
1352,61.980
1353,62.350
1354,60.546
1355,63.364
1356,67.871
1357,64.618
1358,54.962
1359,45.314
1360,37.174
1361,35.807
1362,40.604
1363,41.220
1364,39.369
1365,37.035
1366,35.840
1367,32.301
1368,27.975
1369,25.693
1370,24.856
1371,25.525
1372,23.975
1373,24.194
1374,24.397
1375,20.300
1376,16.135
1377,18.553
1378,24.674
1379,32.315
1380,35.336
1381,35.421
1382,29.686
1383,23.047
1384,20.619
1385,20.355
1386,21.133
1387,26.526
1388,33.986
1389,38.308
1390,35.710
1391,34.550
1392,38.071
1393,39.767
1394,37.438
1395,37.416
1396,34.883
1397,33.909
1398,33.893
1399,31.923
1400,29.629
1401,30.359
1402,33.884
1403,48.194
1404,52.111
1405,54.866
1406,54.956
1407,55.363
1408,54.911
1409,54.887
1410,55.604
1411,52.130
1412,62.108
1413,73.893
1414,81.125
1415,87.002
1416,91.767
1417,91.560
1418,89.015
1419,89.007
1420,82.155
1421,68.703
1422,53.380
1423,46.510
1424,46.981
1425,47.048
1426,47.112
1427,55.067
1428,54.647
1429,54.333
1430,51.760
1431,47.602
1432,41.064
1433,36.386
1434,32.867
1435,34.282
1436,33.183
1437,35.831
1438,36.950
1439,36.215
1440,32.734
1441,31.467
1442,31.541
1443,33.125
1444,28.977
1445,28.633
1446,33.088
1447,35.289
1448,34.481
1449,33.314
1450,33.788
1451,29.279
1452,23.725
1453,22.068
1454,26.516
1455,30.160
1456,31.303
1457,32.723
1458,34.375
1459,33.733
1460,29.670
1461,25.370
1462,22.531
1463,23.409
1464,25.499
1465,27.518
1466,29.338
1467,31.395
1468,33.512
1469,34.584
1470,35.483
1471,36.578
1472,36.963
1473,36.702
1474,35.955
1475,33.435
1476,32.193
1477,31.253
1478,32.573
1479,30.974
1480,28.387
1481,27.436
